epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,288.361,2.18294,2.51251,1.56681,0.61616,0.45924,0.48394,0.185,2.09157,1.71801,1.43108,0.00333128,0.00333128,0.00333128
2,554.641,2.1184,1.8564,1.43245,0.6234,0.44644,0.47234,0.18573,2.0998,1.74119,1.50617,0.00659863,0.00659863,0.00659863
3,817.283,2.17317,1.91411,1.47642,0.56215,0.38644,0.40545,0.15891,2.14306,1.87447,1.49127,0.00979998,0.00979998,0.00979998
4,1067.17,2.18706,1.92305,1.50207,0.63152,0.45109,0.48373,0.19577,2.07536,1.68873,1.50454,0.009703,0.009703,0.009703
5,1320.44,2.13363,1.79885,1.46311,0.6533,0.45899,0.5082,0.21344,2.03176,1.56751,1.45707,0.009604,0.009604,0.009604
6,1581.85,2.09136,1.71067,1.44748,0.69501,0.48475,0.54134,0.23261,2.00454,1.49988,1.42234,0.009505,0.009505,0.009505
7,1813.85,2.0607,1.65612,1.42369,0.70985,0.50422,0.56848,0.24836,1.96952,1.44103,1.41169,0.009406,0.009406,0.009406
8,2070.05,2.04887,1.61576,1.41371,0.71607,0.5248,0.58051,0.25394,1.96125,1.40738,1.39946,0.009307,0.009307,0.009307
9,2330.13,2.02297,1.58423,1.40206,0.73463,0.50976,0.58392,0.26414,1.90946,1.39263,1.37535,0.009208,0.009208,0.009208
10,2589.22,2.0085,1.55294,1.39028,0.74112,0.53819,0.607,0.276,1.91253,1.3122,1.37843,0.009109,0.009109,0.009109
11,2846,1.99885,1.53942,1.38154,0.74202,0.55065,0.61645,0.28001,1.90839,1.3034,1.37326,0.00901,0.00901,0.00901
12,3097.93,1.99007,1.51134,1.3785,0.74942,0.55971,0.62613,0.28687,1.89237,1.28285,1.36943,0.008911,0.008911,0.008911
13,3350.76,1.97934,1.49439,1.36876,0.75271,0.56004,0.62702,0.29014,1.86936,1.27652,1.36796,0.008812,0.008812,0.008812
14,3604.48,1.97725,1.48667,1.36663,0.76523,0.57218,0.64044,0.29889,1.86015,1.23715,1.34934,0.008713,0.008713,0.008713
15,3860.79,1.95695,1.45627,1.35694,0.75516,0.57974,0.6432,0.30475,1.85305,1.21665,1.3488,0.008614,0.008614,0.008614
16,4102.88,1.95023,1.45592,1.3559,0.76243,0.58323,0.64804,0.30718,1.83942,1.21396,1.33877,0.008515,0.008515,0.008515
17,4335.06,1.94736,1.43614,1.34172,0.77066,0.58838,0.65767,0.31214,1.83321,1.18983,1.32912,0.008416,0.008416,0.008416
18,4566.67,1.93544,1.4192,1.34285,0.77381,0.5959,0.6612,0.31463,1.83224,1.17499,1.32255,0.008317,0.008317,0.008317
19,4802.27,1.93061,1.40953,1.33371,0.77294,0.59664,0.66551,0.31882,1.81686,1.16902,1.31029,0.008218,0.008218,0.008218
20,5031.98,1.92026,1.39972,1.32882,0.78143,0.59985,0.6691,0.31987,1.82105,1.15335,1.31816,0.008119,0.008119,0.008119
21,5265.31,1.91665,1.38736,1.33037,0.78087,0.61115,0.67329,0.32432,1.81312,1.13695,1.31491,0.00802,0.00802,0.00802
22,5510.74,1.91522,1.38576,1.3221,0.78013,0.60683,0.67526,0.32678,1.80143,1.13328,1.30433,0.007921,0.007921,0.007921
23,5763.66,1.91173,1.3766,1.31992,0.78221,0.61458,0.67898,0.32928,1.79813,1.12334,1.30069,0.007822,0.007822,0.007822
24,6020.7,1.90609,1.36774,1.31929,0.78597,0.61462,0.67993,0.33005,1.79685,1.117,1.298,0.007723,0.007723,0.007723
25,6277.78,1.90213,1.3541,1.31503,0.78638,0.61491,0.68249,0.33176,1.79427,1.11289,1.2969,0.007624,0.007624,0.007624
26,6518.62,1.90197,1.35553,1.31066,0.78938,0.6129,0.68286,0.33278,1.79248,1.10942,1.29393,0.007525,0.007525,0.007525
27,6749.83,1.8958,1.34895,1.31202,0.78533,0.61971,0.68556,0.333,1.78732,1.10121,1.29114,0.007426,0.007426,0.007426
28,6987.98,1.8885,1.34721,1.30602,0.78918,0.62062,0.68706,0.33535,1.78387,1.09885,1.28902,0.007327,0.007327,0.007327
29,7231.81,1.88626,1.33867,1.30267,0.79024,0.62428,0.68952,0.33744,1.78039,1.09199,1.28654,0.007228,0.007228,0.007228
30,7477.58,1.88298,1.32961,1.30565,0.78744,0.62683,0.69102,0.33821,1.77845,1.08803,1.28633,0.007129,0.007129,0.007129
31,7721.74,1.87529,1.31978,1.29724,0.79131,0.62545,0.69223,0.33961,1.77645,1.08383,1.28507,0.00703,0.00703,0.00703
32,7965.56,1.87577,1.32339,1.30057,0.79924,0.62279,0.69364,0.3407,1.77497,1.07981,1.28478,0.006931,0.006931,0.006931
33,8210.21,1.86723,1.30906,1.28829,0.79634,0.62827,0.69521,0.34126,1.77325,1.07736,1.28194,0.006832,0.006832,0.006832
34,8457.08,1.86355,1.30617,1.28589,0.80137,0.62578,0.69592,0.34244,1.77188,1.07353,1.28029,0.006733,0.006733,0.006733
35,8704.34,1.85778,1.30699,1.28383,0.80152,0.62628,0.69696,0.34281,1.77066,1.0719,1.27932,0.006634,0.006634,0.006634
36,8951.72,1.86136,1.30276,1.28832,0.80297,0.62623,0.69734,0.34371,1.76904,1.06968,1.27832,0.006535,0.006535,0.006535
37,9199.29,1.8531,1.29316,1.28499,0.80357,0.62791,0.69882,0.34407,1.76765,1.06709,1.27713,0.006436,0.006436,0.006436
38,9446.5,1.85382,1.28244,1.28598,0.80426,0.62761,0.69914,0.34446,1.7659,1.06455,1.27585,0.006337,0.006337,0.006337
39,9693.52,1.8515,1.28627,1.27958,0.80498,0.62877,0.69995,0.34488,1.76475,1.06147,1.27498,0.006238,0.006238,0.006238
40,9940.55,1.84952,1.28401,1.27614,0.8035,0.6316,0.70061,0.34526,1.76319,1.0596,1.27382,0.006139,0.006139,0.006139
41,10187.8,1.84375,1.27359,1.27409,0.80388,0.63143,0.70101,0.34551,1.76218,1.05712,1.27294,0.00604,0.00604,0.00604
42,10434.7,1.83844,1.26955,1.27164,0.80347,0.63259,0.70118,0.34589,1.76074,1.05483,1.27208,0.005941,0.005941,0.005941
43,10681.6,1.83334,1.25479,1.27464,0.80265,0.63238,0.70132,0.34621,1.76036,1.05326,1.27158,0.005842,0.005842,0.005842
44,10928.7,1.83371,1.2622,1.27045,0.80278,0.63559,0.70276,0.34687,1.75989,1.05152,1.27087,0.005743,0.005743,0.005743
45,11175.4,1.82294,1.25417,1.26473,0.80049,0.63658,0.70201,0.34703,1.75922,1.05052,1.27015,0.005644,0.005644,0.005644
46,11422.1,1.82347,1.24799,1.2669,0.80166,0.636,0.70262,0.34739,1.75853,1.04908,1.26969,0.005545,0.005545,0.005545
47,11669.5,1.82363,1.24688,1.26681,0.80157,0.6355,0.7027,0.34766,1.75806,1.04793,1.26929,0.005446,0.005446,0.005446
48,11916,1.82384,1.24985,1.2682,0.80327,0.63556,0.70252,0.34791,1.75763,1.04694,1.26933,0.005347,0.005347,0.005347
49,12163.3,1.82391,1.24591,1.26323,0.80417,0.63525,0.70345,0.34808,1.75786,1.04554,1.26908,0.005248,0.005248,0.005248
50,12411,1.8191,1.23357,1.25931,0.80459,0.63525,0.70382,0.34826,1.75741,1.0447,1.26871,0.005149,0.005149,0.005149
51,12659.2,1.81882,1.2339,1.26103,0.80375,0.63716,0.70383,0.34886,1.75689,1.04371,1.26839,0.00505,0.00505,0.00505
52,12906.8,1.80408,1.22097,1.25323,0.80266,0.63833,0.70446,0.3491,1.75605,1.04254,1.26751,0.004951,0.004951,0.004951
53,13154.3,1.81115,1.23033,1.25671,0.80227,0.63866,0.70459,0.3493,1.75562,1.04167,1.26737,0.004852,0.004852,0.004852
54,13402,1.802,1.21382,1.2511,0.80305,0.63841,0.70461,0.34939,1.75525,1.04075,1.26683,0.004753,0.004753,0.004753
55,13649.3,1.79573,1.21884,1.25041,0.80422,0.63791,0.70518,0.34981,1.7544,1.03943,1.26631,0.004654,0.004654,0.004654
56,13896.5,1.80035,1.21185,1.24754,0.80374,0.63883,0.70566,0.35008,1.75331,1.03819,1.26526,0.004555,0.004555,0.004555
57,14144.4,1.79929,1.21238,1.24874,0.80441,0.63814,0.70587,0.35031,1.75254,1.03735,1.26487,0.004456,0.004456,0.004456
58,14392,1.79036,1.20077,1.24405,0.80405,0.63974,0.70639,0.35069,1.75196,1.03618,1.26429,0.004357,0.004357,0.004357
59,14639.8,1.78491,1.19277,1.23629,0.80451,0.63924,0.70598,0.35077,1.75143,1.03422,1.26368,0.004258,0.004258,0.004258
60,14887.3,1.78733,1.19393,1.24297,0.80627,0.63847,0.70627,0.35095,1.7511,1.03298,1.26329,0.004159,0.004159,0.004159
61,15135,1.78028,1.1817,1.23781,0.80494,0.64007,0.70716,0.3512,1.75036,1.0323,1.26274,0.00406,0.00406,0.00406
